127.0.0.1 - - [02/Nov/2021:00:38:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/board/index.jsp HTTP/1.1" 200 70318
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/board/css/style.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/layout.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/default.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/mainffaf.css?v=1.4 HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/commone67d.css?v=1.3 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/item-list.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/member.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/communityc619.css?v=1.0 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/brand.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/item-view.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/order-cart.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/event.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/popup.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/guide.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/override.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/images/owl.carousel.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/commone67d.css?v=1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/item-list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/mainffaf.css?v=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:00:38:55 +0900] "GET /A_team_project/resources/css/order-cart.css HTTP/1.1" 304 -
