127.0.0.1 - - [11/Nov/2021:00:28:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:15 +0900] "GET /A_team_project/board/soto.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:15 +0900] "GET /A_team_project/resources/demo/js/service/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:15 +0900] "GET /A_team_project/resources/demo/SmartEditor2Skin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/css/ko_KR/smart_editor2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/js/lib/jindo2.all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/js/lib/jindo_component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/js/service/SE2BasicCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/js/smarteditor2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/js/service/SE2M_Configuration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/bg_text_tool.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/bg_button_left.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/ko_KR/text_tool_set.png?140317 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/bg_button_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/bg_button.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/icon_set.gif?141007 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/ico_extend.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/img/ko_KR/btn_set.png?160622 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/smart_editor2_inputarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/css/ko_KR/smart_editor2_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Nov/2021:00:28:16 +0900] "GET /A_team_project/resources/demo/css/ko_KR/smart_editor2_items.css HTTP/1.1" 304 -
